T,M,Time
1,1,0.590018
1,10,19.041671
1,20,39.493751
1,30,54.141426
1,40,63.270878
1,50,68.082456
1,100,73.9594
10,1,0.251562
10,10,2.650548
10,20,6.317034
10,30,9.308959
10,40,12.248495
10,50,18.630295
10,100,15.595442
20,1,0.327709
20,10,1.665798
20,20,2.904401
20,30,4.666547
20,40,5.408459
20,50,7.249734
20,100,6.921864
